Token: COMMENT, Valor: # DBPedia: obras de Chuck Berry
Token: SELECT, Valor: select
Token: VARIABLE, Valor: ?nome
Token: VARIABLE, Valor: ?desc
Token: WHERE, Valor: where
Token: LC, Valor: {
Token: VARIABLE, Valor: ?s
Token: ATTRIBUTE, Valor: a
Token: ID, Valor: dbo:MusicalArtist
Token: DOT, Valor: .
Token: VARIABLE, Valor: ?s
Token: ID, Valor: foaf:name
Token: STRING, Valor: "Chuck Berry"@en
Token: DOT, Valor: .
Token: VARIABLE, Valor: ?w
Token: ID, Valor: dbo:artist
Token: VARIABLE, Valor: ?s
Token: DOT, Valor: .
Token: VARIABLE, Valor: ?w
Token: ID, Valor: foaf:name
Token: VARIABLE, Valor: ?nome
Token: DOT, Valor: .
Token: VARIABLE, Valor: ?w
Token: ID, Valor: x:abstract
Token: VARIABLE, Valor: ?desc
Token: RC, Valor: }
Token: LIMIT, Valor: LIMIT
Token: INTEGER, Valor: 1000
